"dgp_id","n","basis","estimator","n_valid","mean_time","sd_time","p","var_coef1","var_coef2","mean_coef1","mean_coef2","bias_coef1","bias_coef2","mse_coef1","mse_coef2","cov_coef1","cov_coef2","var_coef1_ols","var_coef2_ols","g2_emp_coef1","g2_emp_coef2","gamma3_dgp","gamma4_dgp","g2_theoretical"
"Beta25",200,"pos","ols_fp",1000,7.20000000000169e-05,0.000258617251711702,6,787.041355184046,72.7169932960448,1.53861599789535,0.16130587599813,0.538615997895345,-1.83869412400187,787.331462377235,76.0977893776838,0.944,0.947,787.041355184046,72.7169932960448,1,1,0.596284793999944,-0.12,0.810874704491726
"Beta25",200,"pos","mle_fp",1000,6.49999999999125e-05,0.000246649216166751,6,787.041355184046,72.7169932960448,1.53861599789535,0.16130587599813,0.538615997895345,-1.83869412400187,787.331462377235,76.0977893776838,0.943,0.943,787.041355184046,72.7169932960448,1,1,0.596284793999944,-0.12,0.810874704491726
"Beta25",200,"pos","pmm_fp",994,0.00548900000000005,0.00242440853751096,6,662.46400767428,61.2073547925443,0.617413672166425,-0.134875514612045,-0.382586327833575,-2.13487551461205,662.610379972525,65.7650482554343,0.947,0.934,787.041355184046,72.7169932960448,0.841714356317865,0.8417200989507,0.596284793999944,-0.12,0.810874704491726
"Beta25",200,"pos","huber_fp",1000,0.000547999999999718,0.000641956469013103,6,807.391894049067,74.5502052471225,1.40319682270406,0.114264925734358,0.403196822704063,-1.88573507426564,807.554461726905,78.1062020174382,0.945,0.941,787.041355184046,72.7169932960448,1.02585701339704,1.02521022759583,0.596284793999944,-0.12,0.810874704491726
"Beta25",200,"pos","gmm_fp",990,0.00130101010101026,0.000895048162528079,6,656.229105674432,60.5086553159338,0.565139773396703,-0.154174170458052,-0.434860226603297,-2.15417417045805,656.418209091113,65.1491216726024,0.478787878787879,0.486868686868687,787.041355184046,72.7169932960448,0.833792406653111,0.832111623064384,0.596284793999944,-0.12,0.810874704491726
"Beta25",50,"pos","ols_fp",1000,7.60000000000645e-05,0.000290358930133755,6,5794.37211010837,552.470914758832,0.916757253873157,-0.0716959502846047,-0.0832427461268429,-2.0716959502846,5794.37903946315,556.762838869258,0.942,0.941,5794.37211010837,552.470914758832,1,1,0.596284793999944,-0.12,0.810874704491726
"Beta25",50,"pos","mle_fp",1000,6.00000000000308e-05,0.000261664801737886,6,5794.37211010837,552.470914758832,0.916757253873157,-0.0716959502846047,-0.0832427461268429,-2.0716959502846,5794.37903946315,556.762838869258,0.922,0.924,5794.37211010837,552.470914758832,1,1,0.596284793999944,-0.12,0.810874704491726
"Beta25",50,"pos","pmm_fp",74,0.00521799999999953,0.00115577325276713,6,5992.43975968413,572.983638124014,-1.85518109463283,-1.02282508387401,-2.85518109463283,-3.02282508387401,6000.59181876728,582.121109611712,0.906,0.905,5794.37211010837,552.470914758832,1.03418276317295,1.03712905569723,0.596284793999944,-0.12,0.810874704491726
"Beta25",50,"pos","huber_fp",1000,0.000533999999999963,0.00113584071688527,6,6090.1214329319,581.845103375874,1.05903917621205,-0.0427883328134177,0.0590391762120457,-2.04278833281342,6090.12491855623,586.018087548553,0.939,0.938,5794.37211010837,552.470914758832,1.05104078875217,1.05316875120904,0.596284793999944,-0.12,0.810874704491726
"Beta25",50,"pos","gmm_fp",759,0.00119499341238503,0.000773182586858426,6,4026.61196876139,375.022545593635,1.2431858376077,0.0111447486955098,0.243185837607702,-1.98885525130449,4026.671108113,378.978090804277,0.462222222222222,0.465185185185185,5794.37211010837,552.470914758832,0.694917739531589,0.678809572730797,0.596284793999944,-0.12,0.810874704491726
"Beta25",500,"pos","ols_fp",1000,0.000100000000000051,0.000309993703316908,6,299.744925064386,27.62736297687,2.33902048915499,0.399957783894849,1.33902048915499,-1.60004221610515,301.537900934763,30.1874980701887,0.954,0.934,299.744925064386,27.62736297687,1,1,0.596284793999944,-0.12,0.810874704491726
"Beta25",500,"pos","mle_fp",1000,0.000108999999999895,0.000324382835896104,6,299.744925064386,27.62736297687,2.33902048915499,0.399957783894849,1.33902048915499,-1.60004221610515,301.537900934763,30.1874980701887,0.953,0.932,299.744925064386,27.62736297687,1,1,0.596284793999944,-0.12,0.810874704491726
"Beta25",500,"pos","pmm_fp",1000,0.00588200000000049,0.0020494575565927,6,250.893421807592,23.1459137813324,1.98929333980515,0.288346633800507,0.989293339805152,-1.71165336619949,251.872123119775,26.0756710273545,0.949,0.928,299.744925064386,27.62736297687,0.83702308472345,0.837789469835051,0.596284793999944,-0.12,0.810874704491726
"Beta25",500,"pos","huber_fp",1000,0.000730999999999966,0.00057529989568024,6,308.830500096957,28.4707452495523,2.275441870483,0.377942322278535,1.275441870483,-1.62205767772147,310.457252061938,31.1018163594075,0.948,0.936,299.744925064386,27.62736297687,1.03031102204856,1.03052706381671,0.596284793999944,-0.12,0.810874704491726
"Beta25",500,"pos","gmm_fp",1000,0.00173800000000003,0.000878708215580239,6,250.893418786382,23.145913501402,1.98929344050196,0.288346664105904,0.989293440501958,-1.7116533358941,251.872120297802,26.0756706436794,0.484,0.458,299.744925064386,27.62736297687,0.837023074644178,0.83778945970269,0.596284793999944,-0.12,0.810874704491726
"Exp1",100,"pos","ols_fp",1000,6.00000000000448e-05,0.000237605674293654,6,74085.939425135,6868.76946085939,-8.47640262994397,-2.83149702388101,-9.47640262994397,-4.83149702388101,74175.7416319398,6892.11282435116,0.945,0.945,74085.939425135,6868.76946085939,1,1,2,6,0.5
"Exp1",100,"pos","mle_fp",1000,7.60000000000216e-05,0.000307112875533344,6,74085.939425135,6868.76946085939,-8.47640262994397,-2.83149702388101,-9.47640262994397,-4.83149702388101,74175.7416319398,6892.11282435116,0.932,0.934,74085.939425135,6868.76946085939,1,1,2,6,0.5
"Exp1",100,"pos","pmm_fp",953,0.00147700000000026,0.00135768711944763,6,907636.080777724,81978.69236655,-23.7044073493982,-8.04794613195902,-24.7044073493982,-10.047946131959,908246.388520209,82079.6535880208,0.904,0.903,74085.939425135,6868.76946085939,12.2511246779141,11.9349896416953,2,6,0.5
